Year,% Human Biomass (Gt C),%Livestock in Mammals,% Wildlife in Mammals
1961,14.053834122727276,37.19005889791818,48.75610697935455
1962,14.320094522727274,38.01042808909999,47.66947738817274
1963,14.595459131818183,38.88039135519999,46.52414951298183
1964,14.88171971818182,39.562767630436355,45.555512651381825
1965,15.179925440909091,40.783696022163625,44.03637853692729
1966,15.49055740909091,41.82277828061818,42.68666431029091
1967,15.812590736363637,43.115223608872725,41.072185654763636
1968,16.143632395454546,43.73151407829091,40.12485352625455
1969,16.480366486363636,43.709622339863635,39.81001117377273
1970,16.820168390909092,44.017555360163634,39.16227624892727
1971,17.162543713636367,45.62788040492726,37.20957588143637
1972,17.507501113636366,47.01008442113635,35.48241446522729
1973,17.853546536363638,47.64123850052726,34.5052149631091
1974,18.19906441818182,48.68866499539999,33.11227058641819
1975,18.543093663636366,49.381123537799986,32.07578279856365
1976,18.88484938181818,49.62162179065453,31.493528827527285
1977,19.225027545454545,50.09393485362726,30.681037600918188
1978,19.566061368181817,50.46376946103635,29.97016917078183
1979,19.911391363636366,51.05957034004545,29.02903829631819
1980,20.263652336363638,52.10225527162726,27.63409239200911
1981,20.62271255454546,52.30120320771818,27.076084237736353
1982,20.988120645454547,52.582300722445446,26.429578632100004
1983,21.361678654545454,53.02772835829089,25.610592987163656
1984,21.74550736818182,53.4284630938818,24.82602953793638
1985,22.140553363636364,53.72742246990908,24.132024166454556
1986,22.548035963636366,54.472299081681804,22.979664954681823
1987,22.96600975909091,54.76603116500908,22.26795907590001
1988,23.388300036363642,54.86875195489999,21.742948008736363
1989,23.806552536363636,55.76259553953634,20.430851924100025
1990,24.214686640909093,56.11813408826363,19.667179270827276
1991,24.610406563636367,56.46901439614545,18.920579040218186
1992,24.995090040909094,56.13771862772727,18.867191331363642
1993,25.370897936363637,56.07165573919999,18.55744632443637
1994,25.74159285,56.620189093318174,17.638218056681822
1995,26.11005899545455,57.04252582308181,16.847415181463646
1996,26.476781595454547,57.42604113196363,16.09717727258183
1997,26.84111721818182,55.13791132073636,18.020971461081814
1998,27.20360882727273,55.76338971834546,17.033001454381804
1999,27.56472297727273,56.20439648494544,16.23088053778183
2000,27.924971922727273,56.57299619192726,15.502031885345474
2001,28.284666390909095,56.384168775154535,15.33116483393637
2002,28.64442358181818,56.84300812683635,14.512568291345474
2003,29.005386881818183,57.40573598817272,13.588877130009095
2004,29.368906313636366,57.80997671128181,12.821116975081821
2005,29.735941031818186,58.467005284472705,11.797053683709109
2006,30.106899240909094,59.092972496354534,10.800128262736365
2007,30.4815755,59.34090048269089,10.17752401730911
2008,30.85949402727273,60.03858055870908,9.101925414018183
2009,31.239850422727276,60.49409606956363,8.266053507709088
2010,31.62192546818182,60.421525344709075,7.956549187109104
2011,32.005428640909095,60.6441703318818,7.350401027209102
2012,32.3901275409091,61.23370746280907,6.37616499628183
2013,32.77537261818182,61.39654384526362,5.8280835365545585
2014,33.160412568181826,61.833461338872716,5.006126092945465
2015,33.54453245,62.192079847963626,4.263387702036368
2016,33.92737295,62.69090964401816,3.3817174059818456
2017,34.30844965909091,62.64209031321817,3.0494600276909125
2018,34.68677745454546,63.200282510672714,2.112940034781829
