Year,Total Biomass (Gt C),% Total Animal Biomass (Gt C),% Total of birds
1961,7.619913e-08,4.618129090909091e-05,1.088559
1962,7.96068e-08,4.8246545454545455e-05,1.13724
1963,8.356851e-08,5.064758181818181e-05,1.1938358571428571
1964,8.590374000000001e-08,5.206287272727273e-05,1.2271962857142857
1965,8.861399999999999e-08,5.370545454545454e-05,1.2659142857142855
1966,9.144859500000001e-08,5.542339090909092e-05,1.3064085
1967,9.4376745e-08,5.719802727272727e-05,1.3482392142857142
1968,9.778239000000001e-08,5.926205454545455e-05,1.396891285714286
1969,9.962311499999999e-08,6.0377645454545444e-05,1.4231873571428568
1970,1.0219810500000001e-07,6.193824545454546e-05,1.4599729285714287
1971,1.0654334999999999e-07,6.457172727272727e-05,1.522047857142857
1972,1.1008831499999999e-07,6.67201909090909e-05,1.572690214285714
1973,1.1651526000000001e-07,7.06153090909091e-05,1.6645037142857144
1974,1.1986663500000002e-07,7.264644545454546e-05,1.7123805000000003
1975,1.179846e-07,7.150581818181818e-05,1.6854942857142856
1976,1.22856345e-07,7.445839090909092e-05,1.755090642857143
1977,1.2374937e-07,7.499961818181819e-05,1.7678481428571429
1978,1.3101345e-07,7.940209090909091e-05,1.8716207142857142
1979,1.35908685e-07,8.23689e-05,1.941552642857143
1980,1.40933115e-07,8.541400909090909e-05,2.0133302142857143
1981,1.44292995e-07,8.745029999999999e-05,2.0613284999999997
1982,1.52218845e-07,9.225384545454544e-05,2.1745549285714283
1983,1.5909858000000003e-07,9.642338181818183e-05,2.2728368571428574
1984,1.6214985e-07,9.827263636363636e-05,2.3164264285714284
1985,1.7027131500000003e-07,0.00010319473636363638,2.4324473571428578
1986,1.84937985e-07,0.00011208362727272728,2.6419712142857144
1987,2.01708225e-07,0.0001222474090909091,2.881546071428571
1988,2.0610125999999994e-07,0.0001249098545454545,2.9443037142857134
1989,2.1181418999999997e-07,0.00012837223636363634,3.0259169999999993
1990,2.2541692499999998e-07,0.00013661631818181818,3.2202417857142858
1991,2.31255e-07,0.00014015454545454544,3.303642857142857
1992,2.691711e-07,0.000163134,3.845301428571428
1993,2.8958350500000004e-07,0.00017550515454545457,4.136907214285714
1994,3.0638614499999997e-07,0.0001856885727272727,4.376944928571428
1995,3.2320215e-07,0.0001958800909090909,4.617173571428571
1996,3.44626245e-07,0.00020886439090909092,4.923232071428571
1997,3.8151486000000003e-07,0.00023122112727272728,5.4502122857142865
1998,3.2221233e-07,0.0001952802,4.603033285714285
1999,3.4808697e-07,0.00021096180000000002,4.972671
2000,3.755087100000001e-07,0.00022758103636363641,5.364410142857143
2001,3.925195200000001e-07,0.00023789061818181822,5.6074217142857155
2002,4.228799400000001e-07,0.0002562908727272728,6.041142000000001
2003,4.1145732e-07,0.00024936807272727275,5.877961714285714
2004,4.2283741500000004e-07,0.0002562651,6.040534500000001
2005,4.3663131000000005e-07,0.0002646250363636364,6.237590142857143
2006,4.4416026e-07,0.0002691880363636364,6.345146571428571
2007,4.2933888e-07,0.00026020538181818184,6.133412571428572
2008,4.5189657e-07,0.0002738767090909091,6.455665285714286
2009,4.5734301000000006e-07,0.00027717758181818183,6.5334715714285725
2010,4.82497155e-07,0.0002924225181818182,6.8928164999999995
2011,4.4545261500000007e-07,0.00026997128181818184,6.363608785714287
2012,4.5560150999999995e-07,0.00027612212727272725,6.5085929999999985
2013,4.4806567500000005e-07,0.0002715549545454546,6.4009382142857145
2014,4.3445808e-07,0.0002633079272727273,6.206544
2015,4.427836649999999e-07,0.0002683537363636363,6.3254809285714275
2016,4.5221773499999995e-07,0.0002740713545454545,6.460253357142856
2017,4.4832973500000004e-07,0.00027171499090909094,6.4047105
2018,4.54349655e-07,0.0002753634272727273,6.4907093571428565
